Geo_FIPS,Geo_Name,Geo_QName,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T005_001,SE_T005_002,SE_T005_003,SE_T005_004,SE_T005_005,SE_T006_001,SE_T006_002,SE_T006_003,SE_T006_004,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_A001_001,SE_A002_001,SE_T008_001,SE_T008_002,SE_T008_003,SE_NV003_001,SE_NV003_002,SE_NV003_003,SE_NV004_001,SE_NV004_002,SE_NV004_003,SE_T009_001,SE_T009_002,SE_T009_003,SE_NV001_001,SE_NV001_002,SE_NV001_003,SE_NV002_001,SE_NV002_002,SE_NV002_003
"13","Georgia","Georgia",10097343,378287,38044,340243,3746.4014048052,376.772384576814,3369.62902022839,38044,602,2200,12783,22458,376.772384576814,5.96196444945963,21.7879099481913,126.597660394423,222.414946189309,340243,78551,234069,27622,3369.62902022839,777.937324700171,2318.12467893782,273.557112994973,1088,10.7751118289237,68761,13077,55681,57231,11314,45919,11523,1759,9761,680.98112543072,129.509317451135,551.442097193291,566.792670111335,112.049278706289,454.763198595908,114.119130151368,17.4204243631221,96.6689950019525
"15","Hawaii","Hawaii",1419561,49310,3288,46022,3473.60909464264,231.620902518455,3241.98819212418,3288,30,464,952,1842,231.620902518455,2.11332940254064,32.686161425962,67.0629863739564,129.758425315996,46022,7470,33003,5549,3241.98819212418,526.219021232621,2324.87367573496,390.895495156601,292,20.5697395180623,7730,1496,6234,6395,1352,5043,1335,143,1191,544.534542721306,105.38469287336,439.149849847946,450.491384308247,95.2407117411651,355.250672567082,94.0431584130587,10.0735368187771,83.8991772808636
"16","Idaho","Idaho",1634464,33845,3422,30423,2070.70941911232,209.365272040253,1861.34414707207,3422,32,632,202,2553,209.365272040253,1.95782837676449,38.6671104410987,12.3587916283259,156.197995183742,30423,6462,22286,1675,1861.34414707207,395.35896783288,1363.50510014292,102.480079096266,227,13.8883450476731,8149,1392,6756,6231,1281,4947,1918,111,1807,498.573232570433,85.1655343892554,413.346516044404,381.225894238111,78.3743172073536,302.668030620436,117.347338332322,6.79121718190183,110.55612115042
"17","Illinois","Illinois",12880580,309878,46932,262946,2405.77675850001,364.362474360627,2041.41428413938,46932,683,4173,15112,26965,364.362474360627,5.30255625134893,32.3976094244203,117.323909327064,209.346162983344,262946,49515,195801,17626,2041.41428413938,384.41591915892,1520.12564651592,136.841663962337,2119,16.4511225426184,,,,,,,,,,,,,,,,,,
"18","Indiana","Indiana",6596855,179158,22149,157009,2715.80927578369,335.750899481647,2380.05837630204,22149,312,1765,6652,13418,335.750899481647,4.72952641827052,26.7551734879727,100.835928635691,203.399953462673,157009,33703,110549,12757,2380.05837630204,510.894964342857,1675.7833846583,193.380027300888,815,12.3543718938797,38950,9326,29619,32545,8300,24250,6393,1025,5369,590.432865357811,141.370395438432,448.986676226778,493.341145136584,125.817529716812,367.599409112372,96.9098153589855,15.5377069831003,81.3872671144053
"19","Iowa","Iowa",3107126,72134,8299,63835,2321.56661815453,267.095701944498,2054.47091621003,8299,59,1130,1041,6068,267.095701944498,1.89886087657855,36.3680133988773,33.5036300426825,195.293013543706,63835,14025,45743,4065,2054.47091621003,451.381759220579,1472.19649283615,130.828295987997,404,13.002369392165,19809,4323,15487,15527,3854,11673,4282,470,3813,637.534493290584,139.131789312696,498.434888060542,499.722251366697,124.037454548029,375.684796818668,137.812241923887,15.1265188473206,122.71790715922
"20","Kansas","Kansas",2904021,86378,9815,76563,2974.42752652271,337.979649596198,2636.44787692651,9815,91,1428,1313,6976,337.979649596198,3.13358615519654,49.1731981276995,45.2131716678357,240.218648556605,76563,15649,54236,6670,2636.44787692651,538.873513655721,1867.61734849714,229.681534672098,605,20.8331826801528,12949,3159,9789,10711,2813,7897,2237,337,1889,445.898979380659,108.780205101823,337.084339266142,368.833420970441,96.8656907095369,271.933295248209,77.0311233975236,11.6045992780355,65.047738979849
"21","Kentucky","Kentucky",4413457,108831,9460,99371,2465.89011742949,214.344446994725,2251.54567043476,9460,147,1549,3320,4422,214.344446994725,3.33072237930493,35.0972038472336,75.2244782264787,100.193567083581,99371,23299,69726,6346,2251.54567043476,527.908168132147,1579.84999060827,143.787511694348,518,11.7368312413602,27267,3871,23392,24685,3501,21179,2573,357,2201,617.81501439801,87.7090226550298,530.015359841503,559.312121994165,79.325571768344,479.873260348974,58.298970625521,8.0888972068834,49.8702037880963
"22","Louisiana","Louisiana",4649676,180485,24172,156313,3881.66831409328,519.86417978371,3361.80413430957,24172,467,1346,5625,16731,519.86417978371,10.0437105725216,28.9482535987454,120.9761712429,359.83152374488,156313,37442,109485,9387,3361.80413430957,805.260409542514,2354.6801970718,201.885034570151,562,12.0868636868461,43755,9952,33809,37447,8704,28745,6315,1246,5064,941.033310708101,214.03641888166,727.125933075767,805.367943916953,187.195839021902,618.215118644826,135.815914915362,26.7975661099827,108.910814430941
"23","Maine","Maine",1330089,28031,1604,26427,2107.45295991471,120.593433973215,1986.8595259415,1604,21,390,304,889,120.593433973215,1.57884171660693,29.3213461655573,22.8556134213575,66.8376326696935,26427,5035,20591,801,1986.8595259415,378.546097291234,1548.09189460254,60.2215340477216,103,7.74384270526258,8072,770,7302,7064,713,6351,1008,57,951,606.876682688151,57.8908629422542,548.985819745897,531.092280291018,53.6054354257497,477.486844865268,75.7844023971328,4.28542751650453,71.4989748806283
