Geo_FIPS,Geo_Name,Geo_QName,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T006_001,SE_T006_002,SE_T006_003,SE_T006_004,SE_A001_001,SE_T008_001,SE_T008_002,SE_T008_003,SE_NV003_001,SE_NV003_002,SE_NV003_003,SE_NV004_001,SE_NV004_002,SE_NV004_003,SE_T010_001,SE_T010_002,SE_T010_003,SE_T010_004,SE_T010_005,SE_T010_006,SE_T010_007,SE_T010_008,SE_T010_009,SE_T010_010,SE_T010_011,SE_T010_012,SE_T010_013,SE_T010_014,SE_T010_015,SE_T010_016,SE_T010_017,SE_T010_018,SE_T010_019,SE_T010_020,SE_T010_021,SE_T010_022,SE_T010_023,SE_T010_024,SE_T010_025,SE_T010_026,SE_T010_027,SE_T010_028,SE_T010_029,SE_T010_030,SE_T010_031,SE_T010_032,SE_T010_033,SE_T010_034,SE_T010_035,SE_T010_036,SE_T010_037,SE_T010_038,SE_T010_039,SE_T010_040,SE_T010_041,SE_T010_042,SE_T010_043,SE_NV009_001,SE_NV009_002,SE_NV009_003,SE_NV009_004,SE_NV009_005,SE_NV009_006,SE_NV009_007,SE_NV009_008,SE_NV009_009,SE_NV009_010,SE_NV009_011,SE_NV009_012,SE_NV009_013,SE_NV009_014,SE_NV009_015,SE_NV009_016,SE_NV009_017,SE_NV009_018,SE_NV009_019,SE_NV009_020,SE_NV009_021,SE_NV009_022,SE_NV009_023,SE_NV009_024,SE_NV009_025,SE_NV009_026,SE_NV009_027,SE_NV009_028,SE_NV009_029,SE_NV009_030,SE_NV009_031,SE_NV009_032,SE_NV009_033,SE_NV009_034,SE_NV009_035,SE_NV009_036,SE_NV009_037,SE_NV009_038,SE_NV009_039,SE_NV009_040,SE_NV009_041,SE_NV009_042,SE_NV009_043,SE_NV010_001,SE_NV010_002,SE_NV010_003,SE_NV010_004,SE_NV010_005,SE_NV010_006,SE_NV010_007,SE_NV010_008,SE_NV010_009,SE_NV010_010,SE_NV010_011,SE_NV010_012,SE_NV010_013,SE_NV010_014,SE_NV010_015,SE_NV010_016,SE_NV010_017,SE_NV010_018,SE_NV010_019,SE_NV010_020,SE_NV010_021,SE_NV010_022,SE_NV010_023,SE_NV010_024,SE_NV010_025,SE_NV010_026,SE_NV010_027,SE_NV010_028,SE_NV010_029,SE_NV010_030,SE_NV010_031,SE_NV010_032,SE_NV010_033,SE_NV010_034,SE_NV010_035,SE_NV010_036,SE_NV010_037,SE_NV010_038,SE_NV010_039,SE_NV010_040,SE_NV010_041,SE_NV010_042,SE_NV010_043
"13","Georgia","Georgia",10097343,378287,38044,340243,38044,602,2200,12783,22458,340243,78551,234069,27622,1088,68761,13077,55681,57231,11314,45919,11523,1759,9761,359984,478,361,2922,9300,7804,45823,1786,254,34633,3949,6225,441,3508,4578,4172,773,3566,50291,9140,2084,2923,975,3140,40584,4895,28229,3592,3844,258,9,5,244,4352,27706,7377,2435,24443,1734,108170,257,651,1628,322311,431,319,2244,8307,5777,38673,1273,185,28942,3894,6022,434,3047,3605,3397,752,3089,47020,8541,2044,2556,956,2964,37946,4825,25813,3531,3757,248,9,4,235,4140,27538,6603,2369,20672,1660,101519,57,0,0,37672,47,40,673,984,2018,7163,507,69,5686,55,199,7,454,964,767,21,474,3260,595,40,358,19,171,2629,69,2410,61,85,10,0,1,9,206,163,770,66,3765,70,6654,200,651,1628
"15","Hawaii","Hawaii",1419561,49310,3288,46022,3288,30,464,952,1842,46022,7470,33003,5549,292,7730,1496,6234,6395,1352,5043,1335,143,1191,55762,25,130,308,1033,654,4847,718,15,4588,113,394,26,144,658,346,242,250,3030,350,21,111,1,217,2680,287,1158,30,1205,69,13,0,56,22,6877,637,0,893,1,26918,0,210,2615,48556,23,115,277,937,592,3794,644,12,3988,113,373,22,136,509,309,242,203,2537,342,21,103,1,217,2195,263,726,29,1177,69,13,0,56,22,6815,544,0,834,1,25442,0,0,0,7207,2,15,30,96,61,1053,74,3,600,0,21,4,8,149,36,0,47,492,8,0,8,0,0,484,23,432,1,28,0,0,0,0,0,62,93,0,59,0,1476,0,210,2615
"16","Idaho","Idaho",1634464,33845,3422,30423,3422,32,632,202,2553,30423,6462,22286,1675,227,8149,1392,6756,6231,1281,4947,1918,111,1807,60496,16,109,91,1175,1011,5469,210,63,5066,129,381,64,231,1054,350,18,248,7439,645,48,258,29,291,6634,224,4039,167,2189,0,0,0,0,930,7451,2501,376,1671,21,22974,0,279,1139,51110,15,88,81,1096,699,4094,128,26,4252,126,346,62,196,675,264,18,161,6551,596,48,224,25,280,5825,220,3378,144,2071,0,0,0,0,890,7380,1889,312,1404,21,20316,0,0,0,9379,1,21,10,79,312,1375,83,37,814,3,35,2,35,379,86,0,87,883,49,0,34,4,11,801,2,659,23,116,0,0,0,0,40,70,601,64,267,0,2658,0,279,1139
"17","Illinois","Illinois",12880580,309878,46932,262946,46932,683,4173,15112,26965,262946,49515,195801,17626,2119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"18","Indiana","Indiana",6596855,179158,22149,157009,22149,312,1765,6652,13418,157009,33703,110549,12757,815,38950,9326,29619,32545,8300,24250,6393,1025,5369,195037,225,208,1379,7502,3328,24631,1533,121,16049,1176,1786,134,874,1788,1950,522,1158,22744,5863,1556,1903,909,1495,16751,1649,10392,1895,2805,16,0,0,11,1795,20810,8245,7107,5007,240,60734,258,476,3162,171684,209,171,1083,6817,2678,20292,1189,79,12656,1160,1701,131,723,1191,1682,519,963,21052,5601,1525,1733,886,1455,15335,1618,9177,1821,2713,12,0,0,7,1470,20724,6551,6988,3742,224,57488,109,0,0,23339,16,32,292,680,638,4337,340,38,3395,13,80,3,140,589,263,3,184,1691,256,25,162,23,37,1411,26,1214,60,90,4,0,0,4,322,74,1687,115,1264,14,3249,146,475,3160
"19","Iowa","Iowa",3107126,72134,8299,63835,8299,59,1130,1041,6068,63835,14025,45743,4065,404,19809,4323,15487,15527,3854,11673,4282,470,3813,108157,29,163,367,3760,1583,13378,405,113,8894,538,794,74,220,2384,779,68,206,9467,989,83,457,26,417,8312,374,5528,193,2210,5,0,0,0,1295,11656,4908,11852,5785,16,28909,0,398,95,94302,27,122,282,3420,1196,10155,261,57,7201,526,754,73,184,1402,629,63,149,8354,907,79,388,23,407,7296,367,4644,177,2104,5,0,0,0,1293,11563,3973,11659,4080,16,26857,0,0,0,13848,2,40,84,339,383,3227,144,55,1694,12,39,1,36,978,147,5,56,1111,81,4,64,3,10,1014,7,884,16,106,0,0,0,0,2,91,936,192,1703,0,2052,0,398,95
"20","Kansas","Kansas",2904021,86378,9815,76563,9815,91,1428,1313,6976,76563,15649,54236,6670,605,12949,3159,9789,10711,2813,7897,2237,337,1889,93123,70,226,421,2438,1207,7797,702,76,13613,449,805,240,500,2651,791,232,296,10537,3456,165,2010,85,1181,7063,520,3898,312,2320,0,0,0,0,232,11132,4588,319,3077,0,30633,0,0,0,85739,57,175,339,2236,1012,6233,595,49,12428,439,791,220,467,2231,726,232,205,9504,3227,160,1816,74,1156,6262,510,3236,286,2218,0,0,0,0,221,11040,3872,319,2746,0,29524,0,0,0,7379,11,51,80,195,197,1559,103,27,1181,8,12,21,32,414,64,0,91,1031,225,2,184,10,25,796,11,653,26,103,0,0,0,0,10,82,713,0,326,0,1104,0,0,0
"21","Kentucky","Kentucky",4413457,108831,9460,99371,9460,147,1549,3320,4422,99371,23299,69726,6346,518,27267,3871,23392,24685,3501,21179,2573,357,2201,181619,147,251,1271,2166,3587,19014,635,134,11496,1052,1172,496,1958,1103,1005,224,412,22235,7237,1948,1619,1139,2531,14556,2820,6217,2093,3408,9,0,2,2,4813,20139,229,15828,4583,175,67218,0,0,113,174995,136,218,1056,2048,3050,17503,518,79,10411,1042,1153,487,1725,945,883,224,353,21581,7080,1937,1531,1126,2493,14051,2809,5795,2072,3361,8,0,2,2,4810,20087,195,15752,4272,165,66148,0,0,0,6622,11,19,211,114,523,1502,104,54,1077,10,19,9,232,152,121,0,46,648,150,11,87,13,38,497,11,422,18,46,1,0,0,0,3,44,34,75,309,10,1055,0,0,113
"22","Louisiana","Louisiana",4649676,180485,24172,156313,24172,467,1346,5625,16731,156313,37442,109485,9387,562,43755,9952,33809,37447,8704,28745,6315,1246,5064,187002,327,379,1404,7837,5550,27000,1157,100,22989,776,1741,132,1908,3245,2586,753,792,25582,4606,1439,1719,628,812,20963,3114,12942,1397,3504,60,0,0,57,1550,8035,2833,4392,9715,225,54784,121,261,740,167232,310,311,1093,6978,4231,23587,856,64,19317,763,1727,130,1650,2667,2250,743,665,24067,4449,1421,1633,618,770,19605,3051,11829,1351,3369,57,0,0,54,1487,7996,2661,4368,7377,192,51519,118,0,0,19774,16,65,302,857,1321,3408,295,36,3667,13,13,2,253,574,329,9,128,1512,149,17,82,9,40,1359,62,1120,46,129,3,0,0,3,61,37,168,19,2339,29,3266,3,261,740
"23","Maine","Maine",1330089,28031,1604,26427,1604,21,390,304,889,26427,5035,20591,801,103,8072,770,7302,7064,713,6351,1008,57,951,47934,14,69,163,523,910,6128,222,42,5228,232,646,60,150,1167,270,52,207,5806,1215,366,348,175,326,4582,733,2823,343,683,4,0,1,0,154,5531,3127,16,1570,0,15550,0,22,70,44009,14,58,158,482,765,5379,172,35,4704,225,637,58,136,898,255,50,165,5334,1152,363,307,173,309,4174,724,2458,336,656,4,0,1,0,151,5479,2491,13,1444,0,14901,0,0,0,3925,0,11,5,41,145,749,50,7,524,7,9,2,14,269,15,2,42,472,63,3,41,2,17,408,9,365,7,27,0,0,0,0,3,52,636,3,126,0,649,0,22,70
