Geo_FIPS,Geo_Name,Geo_QName,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T006_001,SE_T006_002,SE_T006_003,SE_T006_004,SE_A001_001,SE_T008_001,SE_T008_002,SE_T008_003,SE_NV003_001,SE_NV003_002,SE_NV003_003,SE_NV004_001,SE_NV004_002,SE_NV004_003,SE_T010_001,SE_T010_002,SE_T010_003,SE_T010_004,SE_T010_005,SE_T010_006,SE_T010_007,SE_T010_008,SE_T010_009,SE_T010_010,SE_T010_011,SE_T010_012,SE_T010_013,SE_T010_014,SE_T010_015,SE_T010_016,SE_T010_017,SE_T010_018,SE_T010_019,SE_T010_020,SE_T010_021,SE_T010_022,SE_T010_023,SE_T010_024,SE_T010_025,SE_T010_026,SE_T010_027,SE_T010_028,SE_T010_029,SE_T010_030,SE_T010_031,SE_T010_032,SE_T010_033,SE_T010_034,SE_T010_035,SE_T010_036,SE_T010_037,SE_T010_038,SE_T010_039,SE_T010_040,SE_T010_041,SE_T010_042,SE_T010_043,SE_NV009_001,SE_NV009_002,SE_NV009_003,SE_NV009_004,SE_NV009_005,SE_NV009_006,SE_NV009_007,SE_NV009_008,SE_NV009_009,SE_NV009_010,SE_NV009_011,SE_NV009_012,SE_NV009_013,SE_NV009_014,SE_NV009_015,SE_NV009_016,SE_NV009_017,SE_NV009_018,SE_NV009_019,SE_NV009_020,SE_NV009_021,SE_NV009_022,SE_NV009_023,SE_NV009_024,SE_NV009_025,SE_NV009_026,SE_NV009_027,SE_NV009_028,SE_NV009_029,SE_NV009_030,SE_NV009_031,SE_NV009_032,SE_NV009_033,SE_NV009_034,SE_NV009_035,SE_NV009_036,SE_NV009_037,SE_NV009_038,SE_NV009_039,SE_NV009_040,SE_NV009_041,SE_NV009_042,SE_NV009_043,SE_NV010_001,SE_NV010_002,SE_NV010_003,SE_NV010_004,SE_NV010_005,SE_NV010_006,SE_NV010_007,SE_NV010_008,SE_NV010_009,SE_NV010_010,SE_NV010_011,SE_NV010_012,SE_NV010_013,SE_NV010_014,SE_NV010_015,SE_NV010_016,SE_NV010_017,SE_NV010_018,SE_NV010_019,SE_NV010_020,SE_NV010_021,SE_NV010_022,SE_NV010_023,SE_NV010_024,SE_NV010_025,SE_NV010_026,SE_NV010_027,SE_NV010_028,SE_NV010_029,SE_NV010_030,SE_NV010_031,SE_NV010_032,SE_NV010_033,SE_NV010_034,SE_NV010_035,SE_NV010_036,SE_NV010_037,SE_NV010_038,SE_NV010_039,SE_NV010_040,SE_NV010_041,SE_NV010_042,SE_NV010_043
"24","Maryland","Maryland",5976407,177085,26387,150698,26387,364,1149,9640,15233,150698,28173,109384,13131,1003,43649,11085,32565,35202,8993,26206,8446,2089,6357,237938,241,353,3630,6856,5943,24791,1465,359,24785,696,1293,252,170,3196,3298,1014,1003,43613,8339,5280,2301,432,323,35209,9603,22766,1530,1308,267,0,0,267,1949,20608,7128,81,7228,944,76006,252,152,339,213386,225,306,2551,5909,4751,20400,836,215,19887,652,1239,245,155,2173,2662,1000,816,40650,7773,5031,2047,404,287,32815,9488,20601,1481,1243,215,0,0,215,1932,20510,6526,79,5987,916,72304,221,0,0,24553,16,47,1079,947,1191,4390,627,143,4893,44,54,7,15,1023,637,15,188,2963,565,249,252,28,36,2394,115,2164,49,65,52,0,0,52,18,97,598,2,1240,28,3700,32,152,339
"25","Massachusetts","Massachusetts",6745408,148953,26059,122894,26059,132,2010,5999,17916,122894,24411,90324,8162,481,30482,11014,19467,27807,9949,17857,2677,1066,1608,140128,48,297,1537,9129,3039,15648,686,94,21570,581,1397,152,1369,3008,1423,695,476,12013,4912,3075,1031,535,266,7045,4811,616,810,806,23,5,0,2,1255,9789,3394,7549,6194,7,38666,68,0,18,130916,47,274,1262,8363,2666,14558,579,56,19683,569,1372,147,1227,2482,1255,693,419,11690,4754,3040,928,526,258,6879,4766,529,799,782,22,5,0,2,1228,9731,2815,7369,5576,7,36766,52,0,0,9213,1,21,275,768,372,1091,107,37,1886,11,24,5,141,526,166,2,53,324,156,34,104,9,8,165,44,86,11,22,1,0,0,0,26,57,577,177,621,0,1899,15,0,18
"26","Michigan","Michigan",9909877,242735,42251,200484,42251,544,6258,8010,27437,200484,43997,135355,21129,1702,41837,11800,30033,35272,10567,24703,6566,1229,5334,260315,290,672,1733,9101,3948,24539,1323,221,27000,546,4162,955,1517,2426,3751,395,629,34989,6741,2111,3162,272,1188,27960,4636,18642,1299,3391,72,0,0,0,4695,29276,12908,440,7165,169,86053,0,458,845,239691,271,577,1375,8341,3190,20358,985,166,24226,517,3917,938,1292,1945,3397,388,503,32602,6486,2086,2990,265,1136,25850,4593,16807,1257,3194,67,0,0,0,4682,29024,11030,431,6366,169,82899,0,0,0,20629,19,94,357,758,752,4181,336,55,2775,28,246,16,223,477,351,7,125,2387,254,25,171,7,51,2116,43,1831,42,197,5,0,0,0,13,248,1881,9,793,0,3156,0,458,845
"27","Minnesota","Minnesota",5457173,137533,12485,125048,12485,88,1997,3683,6717,125048,20719,95977,8352,640,33246,5567,27680,26879,4657,22223,6367,910,5456,152264,87,543,1151,3785,2412,24098,1086,83,14779,878,2287,64,1723,3096,1797,617,1159,19160,7329,243,4751,99,2227,11846,1382,6823,890,2749,28,5,13,10,634,20592,11840,1,10155,184,27795,0,1197,1025,128460,85,431,803,3337,2003,19307,850,62,12421,849,2164,62,1440,2103,1390,613,990,16611,6203,240,3774,84,2105,10408,1345,5510,849,2703,28,5,13,10,626,20397,9283,1,7735,177,24685,0,0,0,23804,2,112,348,448,408,4791,236,21,2358,29,123,2,283,992,407,4,169,2548,1125,3,976,15,122,1436,37,1312,41,46,0,0,0,0,8,195,2557,0,2420,7,3111,0,1197,1025
"28","Mississippi","Mississippi",2994079,64764,5482,59282,5482,181,551,1825,2923,59282,15584,40427,3270,514,22181,3293,18895,19376,3065,16311,2808,219,2591,154497,230,185,752,2116,3023,15190,555,125,13740,956,2102,906,1057,1331,1522,192,397,17521,2237,595,841,430,363,15277,1603,8194,2234,3252,166,0,1,161,4834,17702,2137,7693,9138,164,49840,362,209,312,144435,225,168,651,2019,2508,13240,474,80,12412,947,2064,904,950,1095,1318,187,354,16867,2190,583,814,425,359,14671,1586,7775,2137,3169,157,0,1,152,4312,17615,2015,7606,7802,160,47926,352,0,0,10063,5,8,98,90,514,1945,78,30,1331,5,33,1,99,235,196,3,30,654,37,7,18,5,2,609,11,412,81,79,7,0,0,7,524,86,117,74,1332,3,1917,5,209,312
"29","Missouri","Missouri",6063589,203233,26866,176367,26866,404,2401,5589,18468,176367,35283,124708,16370,1404,49213,9749,39459,42594,8680,33916,6617,1062,5546,270743,257,506,1777,7198,4764,32594,1875,214,26420,1499,2332,333,2737,4368,2856,377,1499,35725,4100,499,1294,556,1723,31145,1944,18942,2389,7846,107,1,10,96,3054,23517,7550,464,9664,551,95315,0,1041,2032,245905,232,364,1450,6626,4105,28020,1645,131,22855,1477,2286,316,2402,3400,2536,371,1171,33276,3888,483,1178,533,1671,28918,1907,17065,2297,7628,99,1,6,92,2988,23295,6166,442,8212,526,91393,0,0,0,24843,25,141,326,568,655,4570,227,83,3562,21,44,17,330,961,313,6,325,2446,204,16,113,23,52,2227,37,1877,92,215,6,0,4,2,66,220,1373,21,1444,25,3917,0,1041,2032
"30","Montana","Montana",1023579,28319,3260,25059,3260,38,522,200,2500,25059,3565,19473,2021,132,6012,996,5016,4846,916,3929,1166,79,1086,31032,13,52,50,879,287,4458,231,38,3936,62,278,40,36,882,103,8,90,2256,160,11,70,10,68,2077,54,1414,86,521,0,0,0,0,274,4612,2365,0,3303,8,6337,0,423,0,26037,13,48,47,807,221,3522,171,14,3422,62,267,36,28,625,79,7,70,1878,118,11,47,5,54,1747,54,1108,83,499,0,0,0,0,168,4560,1668,0,2800,8,5511,0,0,0,4993,0,4,3,72,65,934,61,23,513,0,11,4,8,256,24,1,20,377,42,0,23,5,14,329,0,304,3,22,0,0,0,0,104,52,698,0,502,0,826,0,423,0
"31","Nebraska","Nebraska",1881503,51091,4922,46169,4922,52,694,1037,3140,46169,7660,34051,4454,163,13175,2219,10956,9697,1976,7722,3476,243,3232,75608,45,147,295,1731,765,9764,369,56,7200,335,1441,93,711,2401,1032,130,474,12176,945,149,404,153,249,11204,366,8089,439,2310,6,1,2,0,1253,8638,7164,1,3209,62,15596,0,161,334,63304,37,128,216,1593,535,6890,265,30,5683,329,1354,80,571,1612,891,130,353,10563,888,144,380,149,228,9646,335,6855,396,2059,6,1,2,0,1236,8514,5909,1,2421,62,13876,0,0,0,12298,8,19,79,137,230,2873,104,26,1512,6,87,13,140,790,141,0,121,1611,57,5,24,4,21,1557,31,1232,43,251,0,0,0,0,17,124,1254,0,788,0,1719,0,161,334
"32","Nevada","Nevada",2839099,92536,18031,74505,18031,170,1354,5953,10554,74505,21903,42423,10179,332,21487,7827,13660,18420,6958,11462,3067,869,2198,123088,124,279,1809,5615,2741,9998,855,65,14415,626,1516,344,1244,1504,1496,3827,1002,12562,2655,574,1106,562,413,9908,1145,5323,2168,1270,50,0,3,47,952,8110,4938,215,1603,1795,44179,2,736,482,112091,118,232,1593,5014,2318,8398,708,37,12821,622,1499,340,1109,1116,1337,3740,924,11555,2456,562,966,547,381,9086,1132,4593,2133,1223,46,0,3,43,925,8058,4122,154,1385,1764,42152,1,0,0,10995,6,47,216,600,423,1599,147,28,1592,4,17,4,135,388,159,87,78,1007,199,12,140,15,32,822,13,729,34,45,4,0,0,4,27,52,816,62,217,31,2027,1,736,482
"33","New Hampshire","New Hampshire",1326813,27154,2496,24658,2496,16,553,526,1401,24658,3958,19884,814,180,6427,930,5497,5666,827,4836,762,101,659,50662,0,59,227,645,458,4913,89,35,5700,249,970,117,779,1255,119,67,158,6749,1529,319,977,94,137,5130,1004,3384,251,492,23,0,0,0,174,4882,3696,3624,1130,58,14230,0,21,234,45848,0,49,200,582,406,4339,67,24,4985,248,954,109,706,969,112,67,128,6077,1425,310,893,93,128,4571,995,2880,239,458,23,0,0,0,171,4834,3141,3473,998,58,13122,0,0,0,4814,0,9,26,65,51,572,22,11,714,1,16,7,73,286,7,0,27,669,104,9,85,1,9,559,8,505,12,32,0,0,0,0,3,48,553,151,128,0,1106,0,21,234
"34","New Jersey","New Jersey",8938175,177916,22992,154924,22992,352,951,10501,11185,154924,31702,111516,11702,662,41797,10632,31168,36532,9023,27509,5268,1609,3658,316624,261,329,3358,6682,5216,25174,553,218,22336,1183,5019,331,2810,3914,3926,970,1181,55390,11354,6810,3368,630,545,44034,14853,24726,2370,2080,253,40,27,186,10170,24038,4245,0,15362,351,119151,0,1813,2376,292305,242,277,2568,5930,4433,22511,436,127,20494,1133,4894,322,2378,3066,3124,963,973,51447,10647,6572,2953,606,516,40801,14637,21915,2271,1976,216,40,27,149,10125,23901,3126,0,13493,319,115790,0,0,0,24324,19,52,785,751,782,2668,117,91,1844,50,125,9,432,845,799,6,207,3941,706,238,414,24,29,3233,216,2811,99,102,37,0,0,37,45,137,1120,0,1866,32,3358,0,1813,2376
"35","New Mexico","New Mexico",2085572,85229,11955,73274,11955,98,1065,2075,8710,73274,18312,48713,6249,411,17456,4528,12928,15390,4222,11172,2058,305,1752,102471,123,151,281,3965,1656,10776,434,56,9695,242,676,211,846,1160,636,163,150,7048,2253,1431,376,131,310,4794,496,2688,987,614,6,0,0,6,1479,9063,3212,87,2818,65,46976,19,0,438,94663,118,130,274,3693,1464,9283,382,39,8635,240,658,206,798,956,507,161,136,6103,2129,1384,323,127,289,3969,484,1984,929,566,6,0,0,6,1448,9002,2762,80,2413,59,45057,19,0,0,7806,5,21,7,269,191,1492,51,17,1061,2,18,5,46,201,126,2,14,944,122,47,51,3,21,822,12,705,57,49,0,0,0,0,29,63,446,7,407,6,1919,0,0,438
"36","New York","New York",19746227,414346,75865,338481,75865,617,5967,24020,45256,338481,50640,272098,15735,1086,70149,12922,57219,61557,11127,50426,8588,1795,6791,294584,216,476,3633,8597,7267,47854,1790,300,32498,2733,5431,53,4280,15191,3463,929,2187,65540,5044,2244,686,64,2042,60375,2897,41506,398,15535,82,13,1,68,557,31009,2533,0,8885,798,48238,0,0,0,269845,201,410,2775,7734,6059,42765,1407,191,29078,2649,5205,53,3749,12750,2952,919,1801,61810,4861,2196,592,60,2003,56840,2858,38322,389,15253,75,11,1,63,514,30908,2114,0,7822,779,45076,0,0,0,24739,15,65,849,857,1208,5088,382,108,3413,86,225,0,527,2438,509,10,385,3729,184,47,93,4,39,3534,38,3175,9,279,7,2,0,5,42,101,419,0,1058,20,3162,0,0,0
"37","North Carolina","North Carolina",9943964,309947,31334,278613,31334,498,1712,8232,20887,278613,77573,187755,13281,1544,85001,18425,66574,75359,16868,58491,9638,1554,8083,423102,539,445,3744,13681,13830,51185,1248,295,52778,2051,14110,1351,4385,7515,7083,543,1470,40615,6606,2665,2904,270,743,34016,5994,21986,1201,4830,159,102,0,57,7128,44665,7291,0,10590,516,135156,0,10,651,392257,503,407,3098,12840,11866,45312,1106,200,47084,2019,13835,1326,3901,6327,5936,531,1293,37778,6353,2641,2703,261,725,31424,5915,19733,1156,4608,150,94,0,56,7068,44352,6381,0,7849,516,130512,0,0,0,30851,35,36,635,837,1961,5875,139,95,5688,32,274,24,471,1188,1140,12,174,2839,247,24,195,9,18,2585,78,2238,44,219,9,8,0,1,57,310,901,0,2737,0,4638,0,10,651
"38","North Dakota","North Dakota",739482,17839,1998,15841,1998,23,382,175,1418,15841,2747,11551,1542,204,3796,627,3169,3092,580,2511,703,47,656,31478,19,56,56,496,235,2724,193,15,2375,103,425,62,153,441,353,47,68,4032,467,53,155,27,226,3475,118,2190,131,1021,0,0,0,0,107,6767,3558,374,1670,2,6681,0,87,340,27457,19,35,51,475,197,2139,162,10,2071,102,410,55,136,291,333,47,53,3638,434,51,137,21,219,3116,111,1864,128,1001,0,0,0,0,56,6733,2972,374,1141,2,5932,0,0,0,4011,0,21,5,21,37,585,29,5,302,1,15,7,17,149,19,0,15,393,33,2,18,6,7,354,7,324,3,20,0,0,0,0,51,30,587,0,529,0,743,0,87,340
"39","Ohio","Ohio",11594163,322265,31349,290916,31349,446,4736,12278,13868,290916,74712,198835,17372,2189,56725,8291,48424,49148,7040,42097,7571,1250,6322,306681,256,600,2647,4775,5889,41364,915,244,39850,1345,3065,58,4081,4773,3903,1845,835,44559,4612,2140,1387,308,757,38820,10269,21971,1758,4821,36,0,0,5,2397,40601,10447,3274,20100,30,67490,57,614,537,274562,233,469,2044,4284,4863,36449,632,142,33592,1313,2906,57,3459,3417,3487,1832,650,42146,4393,2087,1266,295,720,36667,10143,20226,1695,4595,30,0,0,4,2134,40511,9256,3236,17818,18,59452,56,0,0,32113,19,121,599,487,1025,4906,276,97,6249,27,156,1,620,1353,412,14,178,2411,210,47,116,9,31,2147,112,1741,57,221,6,0,0,1,250,89,1193,37,2275,12,8029,1,614,537
"40","Oklahoma","Oklahoma",3878051,133523,16049,117474,16049,180,1860,3073,10935,117474,29969,76744,10761,803,24307,4790,19518,20406,4294,16110,3903,495,3406,129241,131,241,733,3685,2375,16377,602,163,8896,558,1627,487,2560,1179,2045,140,481,18388,2372,269,973,331,781,15858,1187,8254,3037,3026,40,23,0,8,752,12983,1624,16431,2141,701,30401,0,1005,2500,115339,119,205,592,3378,1856,13645,493,117,7940,557,1590,454,2268,958,1821,139,433,16984,2222,263,865,322,752,14608,1170,7232,2960,2915,37,20,0,8,690,12863,1444,16091,1591,701,28372,0,0,0,13904,12,36,141,306,520,2731,109,46,955,1,37,33,292,220,224,1,48,1404,151,6,107,9,28,1250,17,1023,77,111,3,3,0,0,62,118,180,339,550,0,2028,0,1005,2500
"41","Oregon","Oregon",3970239,126031,9381,116650,9381,79,1220,2197,5883,116650,17376,89578,9694,819,28739,4279,24458,24949,3890,21057,3785,385,3402,134426,71,238,919,3043,2334,20443,1462,216,12096,608,2598,28,496,4172,2215,323,948,21550,1674,538,552,50,529,19838,2798,9529,956,6555,0,0,0,0,428,15285,10530,0,9555,2,22562,0,941,1338,119625,68,211,819,2788,1963,17650,1316,124,10658,592,2502,28,465,3337,2073,320,842,19345,1487,526,405,45,506,17826,2774,7724,929,6399,0,0,0,0,424,15181,8993,0,8745,2,21150,0,0,0,14798,3,28,100,251,368,2796,142,92,1438,16,95,0,30,834,139,3,100,2206,184,11,145,5,21,2013,24,1806,25,156,0,0,0,0,4,102,1538,0,809,0,1412,0,941,1338
"42","Pennsylvania","Pennsylvania",12787209,286777,40247,246530,40247,610,3837,13535,22265,246530,45647,187844,13039,1923,84546,21535,63013,73849,18317,55531,10699,3216,7481,429123,408,1105,5654,14366,8183,51933,2406,483,43689,2302,7703,456,2553,7869,4820,2380,2369,59145,18644,10956,4746,1419,1519,40497,11083,20415,2815,6179,93,8,16,69,1845,47856,14420,23679,41783,489,62047,0,15422,3639,366927,393,882,4469,12569,7068,46136,1999,322,38169,2233,7543,439,2217,5849,3727,2368,1911,55015,17736,10463,4442,1367,1460,37275,10896,17949,2633,5794,91,8,16,67,1805,47540,11031,23436,33010,437,56240,0,0,0,62195,15,223,1183,1793,1114,5793,407,161,5517,69,159,17,334,2018,1090,12,455,4129,907,494,303,52,58,3220,187,2465,182,383,2,0,0,2,40,314,3389,242,8774,52,5807,0,15422,3639
"44","Rhode Island","Rhode Island",1055173,25301,2319,22982,2319,26,366,530,1398,22982,4830,16316,1836,158,4143,783,3360,3464,684,2779,679,98,580,30482,14,60,123,585,644,2550,118,49,4057,104,509,120,312,937,351,84,94,1916,505,298,123,28,55,1400,665,431,119,185,19,0,0,0,116,2723,703,5,2784,3,11461,0,17,19,27533,11,49,90,535,514,2154,90,21,3573,101,504,118,254,729,253,84,74,1822,484,296,110,27,52,1326,658,381,114,173,19,0,0,0,40,2708,639,5,2192,3,10947,0,0,0,2949,3,12,33,49,130,394,28,28,485,3,5,2,58,208,98,0,20,94,20,3,14,1,3,74,7,50,5,12,0,0,0,0,76,15,64,0,591,0,515,0,17,19
"45","South Carolina","South Carolina",4832482,190802,23873,166929,23873,323,2174,3988,17386,166929,36905,117140,12877,686,38228,7696,30532,33615,7036,26581,4611,659,3950,191467,254,364,1345,5731,4115,25414,862,138,20637,1518,4406,410,2130,3173,2050,656,423,31412,5823,2065,1855,249,1650,25415,3640,16796,1035,3947,116,0,0,0,1458,17641,8200,9946,13805,710,34180,0,39,306,175746,231,307,1130,5368,3495,22225,760,97,18183,1495,4335,397,1928,2587,1675,653,342,29277,5611,2043,1731,227,1606,23508,3594,15166,974,3771,116,0,0,0,1444,17559,7639,9866,11856,710,32045,0,0,0,15723,23,57,213,364,620,3188,100,41,2452,22,71,12,201,584,373,3,81,2129,211,21,123,22,44,1908,45,1629,60,173,0,0,0,0,14,81,563,78,1950,0,2132,0,39,306
"46","South Dakota","South Dakota",853175,18197,2699,15498,2699,21,455,196,2027,15498,2715,11803,979,90,4696,932,3764,3663,852,2812,1031,75,952,38321,10,51,63,801,328,3265,137,27,4014,75,700,34,91,489,164,52,62,5859,345,15,139,11,173,4942,100,3262,71,1490,0,0,0,0,384,6775,3467,118,2374,420,8272,0,155,73,33539,10,43,55,742,245,2447,96,20,3594,75,636,24,60,349,128,52,35,5040,306,14,113,8,162,4247,100,2671,66,1391,0,0,0,0,230,6716,2704,108,2026,420,7628,0,0,0,4779,0,8,8,59,84,818,40,7,421,0,62,10,29,138,34,0,26,814,36,1,22,3,10,689,0,585,4,92,0,0,0,0,151,54,752,9,347,0,636,0,155,73
"47","Tennessee","Tennessee",6549352,239779,39837,199942,39837,367,2583,7251,29636,199942,46626,140714,12594,1079,62890,17452,45420,55699,15720,39956,7191,1730,5460,367850,312,372,2101,14665,6108,36898,2166,239,31780,1722,6787,774,738,4735,3022,1400,639,42377,9103,1784,3056,1321,2912,33077,4000,18872,2938,7235,204,0,0,0,3575,27305,7034,17863,8739,7,144620,0,1564,0,341108,290,293,1712,13425,5238,32658,1878,176,27121,1666,6615,757,670,3681,2533,1400,523,39848,8830,1776,2866,1304,2854,30831,3976,16943,2868,7015,175,0,0,0,3501,27129,6087,17665,6343,7,139621,0,0,0,26737,22,79,389,1239,870,4240,285,63,4659,56,170,17,65,1054,485,0,116,2518,267,8,188,16,53,2238,24,1922,70,220,29,0,0,0,75,165,942,198,2396,0,4993,0,1564,0
"48","Texas","Texas",26956958,920307,109393,810914,109393,1190,11583,30981,65637,810914,167478,575163,68271,3827,161165,30587,130574,137356,27057,110301,23811,3528,20279,884114,750,2016,6331,21482,14990,110334,4716,532,96329,5052,8231,525,1089,9274,9719,5123,3622,140534,16814,3818,1530,9311,2133,123608,23744,66542,13204,20120,597,37,116,440,5250,70934,13099,76587,12375,1082,252508,0,3006,7963,801561,704,1689,5207,19447,11827,94222,3858,387,84949,4968,7969,500,890,6781,9048,5023,3117,128282,16168,3738,1279,9175,1956,112023,23080,57430,12589,18930,568,37,115,412,5103,70495,11200,75228,10233,926,238889,0,0,0,82547,46,325,1120,2030,3157,16111,853,145,11384,84,261,25,198,2484,669,100,504,12255,644,80,251,136,177,11588,664,9114,608,1186,29,0,1,28,144,434,1893,1348,2137,156,13622,0,3006,7963
"49","Utah","Utah",2942902,89303,6247,83056,6247,65,1454,1276,3447,83056,11320,64614,7120,291,22115,2252,19861,17948,1985,15962,4165,266,3896,121579,43,243,437,1522,1152,18192,427,87,10009,755,1165,31,1020,3052,1107,193,827,14955,1557,422,525,43,569,13242,1729,5864,228,5420,0,0,0,0,1325,8239,6147,4277,3691,78,41248,3,924,403,104174,41,179,391,1368,915,14689,316,38,8521,745,1124,29,920,2070,874,162,498,13141,1460,403,484,37,536,11546,1713,4649,208,4975,0,0,0,0,1301,8079,5184,4134,2659,60,36700,1,0,0,17406,2,64,46,154,236,3501,108,49,1486,10,40,2,98,981,232,31,328,1812,96,17,40,6,30,1699,16,1215,20,443,0,0,0,0,24,157,961,143,1031,18,4539,2,924,403
"50","Vermont","Vermont",626562,10147,637,9510,637,10,117,71,439,9510,2073,7250,187,35,2062,498,1562,1905,467,1436,157,31,126,12401,12,43,26,417,223,1292,32,15,1364,39,227,48,114,280,20,14,34,722,253,165,34,29,24,459,197,77,62,122,0,0,0,0,204,2417,111,1,711,0,4028,0,0,0,11714,12,34,24,397,191,1202,30,13,1218,39,225,45,108,211,11,14,27,697,250,164,33,29,23,437,195,58,62,121,0,0,0,0,199,2406,68,1,640,0,3896,0,0,0,687,0,9,2,20,32,90,2,2,146,0,2,3,6,69,9,0,7,25,3,1,1,0,1,22,2,19,0,1,0,0,0,0,5,11,43,0,71,0,132,0,0,0
"51","Virginia","Virginia",8326289,178426,16523,161903,16523,351,2415,4293,9462,161903,23206,130974,7711,862,42893,7036,35857,37974,6328,31646,4919,708,4211,309565,279,494,1598,4664,3539,31276,823,216,34678,1901,5869,1620,886,4017,3288,933,858,38030,7664,2649,2381,782,1847,29429,3644,19927,940,4910,53,0,0,0,2302,24161,7747,26472,4191,223,104772,0,1131,3428,285741,268,430,1311,4317,3007,27846,657,131,31185,1874,5740,1588,781,3250,3003,931,706,35719,7448,2639,2235,760,1809,27362,3627,18140,901,4685,53,0,0,0,2272,24075,6717,26354,3379,223,99806,0,0,0,23823,11,64,287,346,532,3427,166,85,3490,26,129,32,105,766,285,2,152,2310,216,10,146,22,38,2066,17,1785,39,225,0,0,0,0,30,86,1028,118,812,0,4966,0,1131,3428
"53","Washington","Washington",7061530,282115,19985,262130,19985,178,2531,5643,11633,262130,55374,176105,30652,1180,47318,8290,39028,41289,7336,33952,6028,952,5076,199202,150,531,1977,5628,5425,32026,1347,226,28574,1106,1078,69,3742,5563,1881,569,732,12154,1753,840,280,58,574,10187,2937,1838,462,4952,0,0,0,0,535,28005,4331,13,3614,155,59565,0,13,180,181766,139,453,1627,5117,4610,28070,1109,162,24987,1085,1044,69,3519,4613,1596,558,578,10275,1578,820,169,51,537,8509,2871,693,434,4512,0,0,0,0,509,27850,3106,13,3363,154,57151,0,0,0,17435,12,78,350,511,815,3958,238,64,3588,21,33,0,223,950,284,11,154,1880,174,20,111,6,37,1678,67,1141,28,439,0,0,0,0,26,146,1220,0,251,1,2417,0,13,180
"54","West Virginia","West Virginia",1850326,38412,5327,33085,5327,78,553,510,4183,33085,7810,23565,1715,209,12927,2621,10305,12435,2542,9897,494,78,410,60663,72,117,221,2207,1009,8991,267,32,6967,399,781,200,397,911,444,108,169,8339,1636,568,502,240,327,6425,868,3575,1028,950,9,0,0,0,101,6609,1734,1973,985,37,17523,0,6,17,58901,69,114,201,2144,951,8666,245,31,6700,393,774,197,384,851,408,108,152,8165,1603,567,480,240,318,6285,859,3455,1024,941,9,0,0,0,101,6588,1598,1968,952,37,17053,0,0,0,1760,2,3,16,52,55,323,19,1,265,4,6,2,10,51,31,0,15,174,29,1,20,0,7,136,7,114,3,5,0,0,0,0,0,19,135,4,28,0,467,0,6,17
"55","Wisconsin","Wisconsin",5757564,133708,16339,117369,16339,157,1419,5058,9704,117369,20969,86605,9797,553,46801,7864,38939,34788,6396,28390,12015,1466,10550,296340,182,726,1724,5229,3303,34274,1214,147,16507,1037,3232,266,1571,7368,4126,695,2348,25990,4706,1300,1992,378,943,21342,1613,15152,1480,3077,100,2,2,33,2811,25570,18411,0,40668,1627,92146,0,2968,2050,239928,164,558,1123,4548,2334,25216,749,85,13586,993,3088,236,955,5023,3221,654,1458,22622,4181,1276,1754,347,790,18359,1569,12671,1350,2748,76,2,2,22,2664,25188,14692,0,30876,1586,78184,0,0,0,56412,17,167,598,680,970,9056,461,60,2924,39,141,29,617,2343,898,40,891,3366,525,24,236,30,150,2981,42,2475,128,329,23,0,0,10,148,367,3714,0,9792,40,13966,0,2968,2050
"56","Wyoming","Wyoming",584153,12337,1106,11231,1106,16,165,53,872,11231,1652,8992,586,39,3596,514,3083,2893,473,2419,705,41,664,31679,22,43,25,425,241,2688,107,44,2824,49,174,13,68,590,93,63,142,3718,273,11,112,96,49,3362,78,2252,473,558,1,0,0,1,345,4001,2254,2652,1057,67,9448,14,228,274,27517,22,36,24,389,208,2091,77,38,2391,49,164,13,65,362,64,61,125,3210,235,11,82,94,46,2920,77,1913,463,462,1,0,0,1,336,3969,1761,2610,918,60,8450,5,0,0,4162,0,6,1,33,33,595,28,6,431,0,10,0,3,228,28,2,16,508,34,0,29,2,3,443,1,339,9,94,0,0,0,0,9,32,489,42,137,7,998,9,228,274
