Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T004_006,SE_T005_001,SE_T005_002,SE_T005_003,SE_T005_004,SE_T005_005,SE_T005_006,SE_T006_001,SE_T006_002,SE_T006_003,SE_T006_004,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T008_001,SE_T009_001,SE_T010_001,SE_T010_002,SE_T010_003,SE_T010_004,SE_T010_005,SE_T010_006,SE_T011_001,SE_T011_002,SE_T011_003,SE_T011_004,SE_T011_005,SE_T011_006
"13","Georgia","Georgia","00","13",,10617423,19395,3047,16348,182.671444850601,28.6981125269286,153.973332323672,3047,39,328,0,207,2473,28.6981125269286,0.367320770774603,3.08926186702743,0,1.94962562949597,23.2919042596306,16348,3403,11324,1621,153.973332323672,32.0510918704096,106.654882262862,15.2673581904008,66,0.621619765926252,96,77,9,6,4,6,0.904174204983639,0.725223060247294,0.0847663317172161,0.0565108878114774,0.0376739252076516,0.0565108878114774
"15","Hawaii","Hawaii","00","15",,1415872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,30,2,9,0,0,2.89574198797631,2.11883560095828,0.141255706730552,0.635650680287484,0,0
"16","Idaho","Idaho","00","16",,1787065,5889,1175,4714,329.534739922722,65.7502664984206,263.784473424302,1175,11,211,0,19,934,65.7502664984206,0.615534409772448,11.8070691329079,0,1.06319579869787,52.2644671570424,4714,1206,3065,443,263.784473424302,67.4849543805066,171.51026963205,24.789249411745,28,1.56681486123896,24,18,1,4,1,0,1.34298416677625,1.00723812508219,0.0559576736156771,0.223830694462708,0.0559576736156771,0
"17","Illinois","Illinois","00","17",,12671821,16090,2529,13561,126.974647132405,19.9576682783003,107.016978854105,2529,30,555,0,212,1732,19.9576682783003,0.236745768425864,4.37979671587848,0,1.67300343020944,13.6681223637865,13561,3732,8636,1193,107.016978854105,29.4511735921775,68.151215204192,9.41459005773519,103,0.812827138262133,60,34,9,17,0,6,0.473491536851728,0.268311870882646,0.0710237305277592,0.134155935441323,0,0.0473491536851728
"18","Indiana","Indiana","00","18",,6732219,7991,1223,6768,118.697861730285,18.1663727813964,100.531488948889,1223,20,168,0,105,930,18.1663727813964,0.297078868052272,2.49546249163909,0,1.55966405727443,13.8141673644307,6768,1763,4549,737,100.531488948889,26.1875022188078,67.5705885384893,10.9473562877262,27,0.401056471870568,74,47,13,14,0,2,1.09919181179341,0.69813533992284,0.193101264233977,0.207955207636591,0,0.0297078868052272
"19","Iowa","Iowa","00","19",,3155070,6677,1167,5510,211.627634252172,36.9880858427864,174.639548409386,1167,10,182,0,18,957,36.9880858427864,0.316950178601426,5.76849325054595,0,0.570510321482566,30.3321320921564,5510,1884,2949,677,174.639548409386,59.7134136485086,93.4686076695604,21.4575270913165,54,1.7115309644477,10,6,0,4,0,0,0.316950178601426,0.190170107160855,0,0.12678007144057,0,0
"20","Kansas","Kansas","00","20",,2913314,5846,974,4872,200.664947204455,33.4327161438829,167.232231060572,974,10,146,0,28,790,33.4327161438829,0.343251705789352,5.01147490452454,0,0.961104776210185,27.1168847573588,4872,1265,3126,615,167.232231060572,43.421340782353,107.300483229751,21.1099799060451,44,1.51030750547315,75,38,27,7,3,3,2.57438779342014,1.30435648199954,0.92677960563125,0.240276194052546,0.102975511736806,0.102975511736806
"21","Kentucky","Kentucky","00","21",,4467673,11474,894,10580,256.822735235994,20.0104170560379,236.812318179956,894,18,222,0,113,541,20.0104170560379,0.402894303141703,4.96902973874767,0,2.52928090305624,12.1092121110923,10580,3235,5667,1678,236.812318179956,72.4090594813004,126.844556439113,37.5587022595432,57,1.27583195994872,146,114,12,19,1,6,3.26792045881603,2.55166391989745,0.268596202094468,0.425277319982908,0.0223830168412057,0.134298101047234
"22","Louisiana","Louisiana","00","22",,4648794,53689,7992,45697,1154.90167987654,171.915554872941,982.986125003603,7992,189,699,0,787,6317,171.915554872941,4.06557055442766,15.036157764788,0,16.9291218324581,135.884704721268,45697,8938,33824,2989,982.986125003603,192.264918600394,727.586552555351,64.2962454348375,121,2.60282559304628,26,9,8,7,2,0,0.559284838175234,0.193598597829889,0.172087642515457,0.150576687201025,0.0430219106288642,0
"23","Maine","Maine","00","23",,1344212,2557,231,2326,190.222970781395,17.1847893040681,173.038181477327,231,0,77,0,18,136,17.1847893040681,0,5.72826310135604,0,1.33907449122609,10.117451711486,2326,548,1634,144,173.038181477327,40.7673789551053,121.558206592413,10.7125959298087,9,0.669537245613043,19,10,2,7,0,0,1.41346751851642,0.743930272903381,0.148786054580676,0.520751191032367,0,0
"24","Maryland","Maryland","00","24",,6045680,12777,1900,10877,211.340990591629,31.4273993992405,179.913591192389,1900,13,224,0,313,1350,31.4273993992405,0.215029574836908,3.70512498180519,0,5.17725053261172,22.3299943099866,10877,1918,8428,531,179.913591192389,31.7251326567069,139.40532744042,8.78313109526141,36,0.595466514932977,19,7,4,7,1,0,0.314273993992404,0.115785155681412,0.0661629461036641,0.115785155681412,0.016540736525916,0
"25","Massachusetts","Massachusetts","00","25",,6892503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,213,101,92,1,9,5.90496659921657,3.09031421531481,1.46536026172205,1.33478360473691,0.0145085174427926,0.130576656985133
"26","Michigan","Michigan","00","26",,9986857,26435,4989,21446,264.697892440034,49.9556567196266,214.742235720407,4989,38,1397,0,291,3263,49.9556567196266,0.380500091269956,13.9883849343192,0,2.91382964630414,32.6729420477333,21446,4202,16118,1505,214.742235720407,42.0752995662199,161.392117660241,15.0698062463496,141,1.41185560181747,417,313,51,44,9,17,4.17548784367294,3.13411917282885,0.510671175125467,0.440579053049423,0.0901184426692001,0.170223725041822
"27","Minnesota","Minnesota","00","27",,5639632,14031,1461,12570,248.792829035653,25.9059456361692,222.886883399484,1461,13,416,0,79,953,25.9059456361692,0.230511494367008,7.37636781974427,0,1.4008006196149,16.898265702443,12570,2674,8750,1146,222.886883399484,47.4144412259523,155.151967362409,20.3204748111224,58,1.02843589794511,97,59,20,17,1,7,1.71997038104614,1.04616755135796,0.354633068256936,0.301438108018395,0.0177316534128468,0.124121573889928
"28","Mississippi","Mississippi","00","28",,2976149,7553,624,6929,253.784336738517,20.9666921918224,232.817644546694,624,29,112,0,104,570,20.9666921918224,0.974413579427643,3.76325244468607,0,3.49444869863706,19.1522669059916,6929,2087,4015,827,232.817644546694,70.1241772505342,134.905880048344,27.7875872478159,46,1.54562153978178,14,6,1,1,6,0,0.470406555585759,0.201602809536754,0.0336004682561256,0.0336004682561256,0.201602809536754,0
"29","Missouri","Missouri","00","29",,6137428,11280,1886,9394,183.790343446799,30.7294847287822,153.060858718017,1886,19,197,0,69,1601,30.7294847287822,0.309575933110743,3.20981362225349,0,1.12424944129691,26.085845732121,9394,2691,5477,1416,153.060858718017,43.8457282105794,89.2393360867125,23.0715537518322,46,0.749499627531272,82,52,13,16,1,1,1.33606455342531,0.847260448513612,0.211815112128403,0.260695522619573,0.0162934701637233,0.0162934701637233
"30","Montana","Montana","00","30",,1068778,6903,1228,5675,645.877815598749,114.89757461325,530.980240985499,1228,12,185,0,30,1077,114.89757461325,1.12277760208388,17.3094880321264,0,2.80694400520969,100.769289787028,5675,868,4103,704,530.980240985499,81.2142465507336,383.896375112512,65.869619322254,43,4.02328640746722,28,16,9,2,1,4,2.61981440486238,1.4970368027785,0.842083201562906,0.187129600347313,0.0935648001736563,0.374259200694625
"31","Nebraska","Nebraska","00","31",,1934408,3811,452,3359,197.011178613819,23.3663218927961,173.644856721023,452,5,132,0,16,299,23.3663218927961,0.258477012088453,6.82379311913516,0,0.827126438683049,15.4569253228895,3359,659,2281,419,173.644856721023,34.0672701932581,117.917212914752,21.6603736130124,15,0.775431036265359,46,38,3,3,2,0,2.37798851121377,1.96442529187224,0.155086207253072,0.155086207253072,0.103390804835381,0
